Loan_Status,ApplicantIncome,CoapplicantIncome,TotalIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area
N,4166.0,3369.0,7535.0,201.0,360.0,1,Male,Yes,1,Graduate,No,Urban
N,3167.0,0.0,3167.0,74.0,360.0,1,Male,No,0,Graduate,No,Urban
N,4692.0,0.0,4692.0,106.0,360.0,1,Male,No,1,Graduate,Yes,Rural
Y,3500.0,1667.0,5167.0,114.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
N,10171.25,3000.0,13171.25,261.5,360.0,1,Male,No,3,Graduate,No,Rural
Y,2275.0,2067.0,4342.0,128.0,360.0,1,Male,Yes,0,Graduate,No,Urban
N,1828.0,1330.0,3158.0,100.0,360.0,0,Male,Yes,0,Graduate,No,Urban
Y,3667.0,1459.0,5126.0,144.0,360.0,1,Female,Yes,0,Graduate,No,Semiurban
Y,4166.0,5743.125,9909.125,184.0,360.0,1,Male,No,0,Graduate,No,Urban
Y,3748.0,1668.0,5416.0,110.0,360.0,1,Male,No,0,Not Graduate,No,Semiurban
N,3600.0,0.0,3600.0,80.0,360.0,1,Male,No,0,Graduate,No,Urban
Y,1800.0,1213.0,3013.0,47.0,360.0,1,Male,No,0,Graduate,No,Urban
Y,2400.0,0.0,2400.0,75.0,360.0,1,Male,Yes,0,Graduate,No,Urban
Y,3941.0,2336.0,6277.0,134.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,4695.0,0.0,4695.0,96.0,360.0,1,Male,Yes,0,Not Graduate,Yes,Urban
Y,3410.0,0.0,3410.0,88.0,360.0,1,Female,No,0,Graduate,No,Urban
Y,5649.0,0.0,5649.0,44.0,360.0,1,Male,Yes,1,Graduate,No,Urban
Y,5821.0,0.0,5821.0,144.0,360.0,1,Male,Yes,0,Graduate,No,Urban
N,2645.0,3440.0,6085.0,120.0,360.0,0,Female,Yes,0,Graduate,No,Urban
Y,4000.0,2275.0,6275.0,144.0,360.0,1,Female,No,0,Graduate,No,Semiurban
Y,1928.0,1644.0,3572.0,100.0,360.0,1,Female,Yes,0,Not Graduate,No,Semiurban
Y,3086.0,0.0,3086.0,120.0,360.0,1,Female,No,0,Graduate,No,Semiurban
N,4230.0,0.0,4230.0,112.0,360.0,1,Female,No,0,Graduate,No,Semiurban
N,4616.0,0.0,4616.0,134.0,360.0,1,Male,Yes,2,Graduate,No,Urban
N,10171.25,0.0,10171.25,261.5,360.0,0,Female,Yes,1,Graduate,Yes,Urban
Y,2708.0,1167.0,3875.0,97.0,360.0,1,Male,Yes,2,Graduate,No,Semiurban
Y,2132.0,1591.0,3723.0,96.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
N,3366.0,2200.0,5566.0,135.0,360.0,1,Male,Yes,0,Graduate,No,Rural
Y,8080.0,2250.0,10330.0,180.0,360.0,1,Male,Yes,1,Graduate,No,Urban
Y,3357.0,2859.0,6216.0,144.0,360.0,1,Male,Yes,2,Not Graduate,No,Urban
Y,2500.0,3796.0,6296.0,120.0,360.0,1,Male,Yes,0,Graduate,No,Urban
Y,3029.0,0.0,3029.0,99.0,360.0,1,Male,Yes,3,Graduate,No,Urban
N,2609.0,3449.0,6058.0,165.0,180.0,0,Male,Yes,0,Not Graduate,Yes,Rural
N,4945.0,0.0,4945.0,128.0,360.0,0,Male,Yes,1,Graduate,No,Rural
N,4166.0,0.0,4166.0,116.0,360.0,0,Female,No,0,Graduate,No,Semiurban
N,5726.0,4595.0,10321.0,258.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
N,3200.0,2254.0,5454.0,126.0,180.0,0,Male,No,0,Not Graduate,No,Urban
Y,10171.25,0.0,10171.25,261.5,360.0,1,Male,Yes,1,Graduate,No,Urban
Y,7100.0,0.0,7100.0,125.0,60.0,1,Male,Yes,3,Not Graduate,Yes,Urban
N,4300.0,0.0,4300.0,136.0,360.0,0,Female,No,0,Graduate,No,Semiurban
Y,3208.0,3066.0,6274.0,172.0,360.0,1,Male,Yes,0,Graduate,No,Urban
Y,1875.0,1875.0,3750.0,97.0,360.0,1,Male,Yes,2,Not Graduate,Yes,Semiurban
Y,3500.0,0.0,3500.0,81.0,300.0,1,Male,No,0,Graduate,No,Semiurban
N,4755.0,0.0,4755.0,95.0,360.0,0,Male,Yes,3,Not Graduate,No,Semiurban
Y,5266.0,1774.0,7040.0,187.0,360.0,1,Male,Yes,3,Graduate,Yes,Semiurban
N,3750.0,0.0,3750.0,113.0,480.0,1,Male,No,0,Graduate,No,Urban
N,3750.0,4750.0,8500.0,176.0,360.0,1,Male,No,0,Graduate,No,Urban
N,1000.0,3022.0,4022.0,110.0,360.0,1,Male,Yes,1,Graduate,Yes,Urban
N,3167.0,4000.0,7167.0,180.0,300.0,0,Male,Yes,3,Graduate,No,Semiurban
Y,3333.0,2166.0,5499.0,130.0,360.0,1,Male,Yes,3,Not Graduate,Yes,Semiurban
Y,3846.0,0.0,3846.0,111.0,360.0,1,Female,No,0,Graduate,No,Semiurban
Y,2395.0,0.0,2395.0,128.0,360.0,1,Male,Yes,1,Graduate,Yes,Semiurban
N,1378.0,1881.0,3259.0,167.0,360.0,1,Female,Yes,2,Graduate,No,Urban
N,6000.0,2250.0,8250.0,261.5,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,3988.0,0.0,3988.0,50.0,240.0,1,Male,Yes,1,Graduate,No,Urban
Y,2366.0,2531.0,4897.0,136.0,360.0,1,Male,No,0,Graduate,No,Semiurban
Y,3333.0,2000.0,5333.0,99.0,360.0,1,Male,Yes,2,Not Graduate,No,Semiurban
Y,2500.0,2118.0,4618.0,104.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,8566.0,0.0,8566.0,210.0,360.0,1,Male,No,0,Graduate,No,Urban
Y,5695.0,4167.0,9862.0,175.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,2958.0,2900.0,5858.0,131.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,6250.0,5654.0,11904.0,188.0,180.0,1,Male,Yes,2,Graduate,No,Semiurban
Y,3273.0,1820.0,5093.0,81.0,360.0,1,Male,Yes,2,Not Graduate,No,Urban
Y,4133.0,0.0,4133.0,122.0,360.0,1,Male,No,0,Graduate,No,Semiurban
Y,3620.0,0.0,3620.0,25.0,120.0,1,Male,No,0,Not Graduate,No,Semiurban
N,6782.0,0.0,6782.0,128.0,360.0,1,Male,No,0,Graduate,No,Urban
Y,2484.0,2302.0,4786.0,137.0,360.0,1,Female,Yes,0,Graduate,No,Semiurban
Y,1977.0,997.0,2974.0,50.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,4188.0,0.0,4188.0,115.0,180.0,1,Male,Yes,0,Not Graduate,No,Semiurban
Y,1759.0,3541.0,5300.0,131.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,4288.0,3263.0,7551.0,133.0,180.0,1,Male,Yes,2,Not Graduate,No,Urban
Y,4843.0,3806.0,8649.0,151.0,360.0,1,Male,No,0,Graduate,No,Semiurban
Y,10171.25,0.0,10171.25,128.0,360.0,1,Male,Yes,0,Graduate,No,Urban
Y,4652.0,3583.0,8235.0,128.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,3816.0,754.0,4570.0,160.0,360.0,1,Male,Yes,0,Graduate,No,Urban
Y,3052.0,1030.0,4082.0,100.0,360.0,1,Male,Yes,1,Graduate,No,Urban
Y,10171.25,1126.0,11297.25,225.0,360.0,1,Male,Yes,2,Graduate,No,Urban
N,7333.0,0.0,7333.0,120.0,360.0,1,Male,No,0,Not Graduate,No,Rural
N,3800.0,3600.0,7400.0,216.0,360.0,0,Male,Yes,2,Graduate,No,Urban
Y,2071.0,754.0,2825.0,94.0,480.0,1,Male,Yes,3,Not Graduate,No,Semiurban
Y,5316.0,0.0,5316.0,136.0,360.0,1,Male,No,0,Graduate,No,Urban
Y,2929.0,2333.0,5262.0,139.0,360.0,1,Female,Yes,0,Graduate,No,Semiurban
N,3572.0,4114.0,7686.0,152.0,360.0,0,Male,Yes,0,Not Graduate,No,Rural
Y,7451.0,0.0,7451.0,128.0,360.0,1,Female,No,1,Graduate,Yes,Semiurban
Y,5050.0,0.0,5050.0,118.0,360.0,1,Male,No,0,Graduate,No,Semiurban
Y,10171.25,0.0,10171.25,185.0,180.0,1,Male,Yes,1,Graduate,No,Rural
Y,3167.0,2283.0,5450.0,154.0,360.0,1,Female,Yes,0,Graduate,No,Semiurban
Y,2214.0,1398.0,3612.0,85.0,360.0,1,Male,Yes,1,Graduate,No,Urban
N,5568.0,2142.0,7710.0,175.0,360.0,1,Male,Yes,0,Graduate,No,Rural
Y,10171.25,0.0,10171.25,259.0,360.0,1,Female,No,0,Graduate,No,Urban
Y,5667.0,2667.0,8334.0,180.0,360.0,1,Male,Yes,0,Graduate,No,Rural
Y,4166.0,0.0,4166.0,44.0,360.0,1,Female,No,0,Graduate,No,Semiurban
Y,2137.0,5743.125,7880.125,137.0,360.0,0,Female,No,0,Graduate,No,Semiurban
Y,2957.0,0.0,2957.0,81.0,360.0,1,Male,Yes,2,Graduate,No,Semiurban
Y,4300.0,2014.0,6314.0,194.0,360.0,1,Male,Yes,0,Not Graduate,No,Rural
Y,3692.0,0.0,3692.0,93.0,360.0,1,Female,No,0,Graduate,No,Rural
Y,10171.25,0.0,10171.25,261.5,360.0,1,Male,Yes,3,Graduate,No,Rural
Y,3865.0,1640.0,5505.0,128.0,360.0,1,Male,No,0,Graduate,No,Rural
N,10171.25,3850.0,14021.25,160.0,180.0,0,Male,Yes,1,Graduate,Yes,Urban
N,6080.0,2569.0,8649.0,182.0,360.0,1,Male,Yes,0,Graduate,No,Rural
Y,10171.25,0.0,10171.25,261.5,480.0,1,Male,No,0,Graduate,Yes,Urban
Y,2014.0,1929.0,3943.0,74.0,360.0,1,Male,No,0,Graduate,No,Urban
Y,2718.0,0.0,2718.0,70.0,360.0,1,Male,No,0,Graduate,No,Semiurban
Y,3459.0,0.0,3459.0,25.0,120.0,1,Male,Yes,0,Graduate,Yes,Semiurban
Y,4895.0,0.0,4895.0,102.0,360.0,1,Male,No,0,Graduate,No,Semiurban
N,4000.0,5743.125,9743.125,261.5,360.0,1,Male,Yes,3,Graduate,No,Semiurban
N,4583.0,0.0,4583.0,84.0,360.0,1,Female,Yes,0,Graduate,No,Rural
Y,3316.0,3500.0,6816.0,88.0,360.0,1,Male,Yes,2,Graduate,Yes,Urban
N,10171.25,0.0,10171.25,242.0,360.0,0,Male,No,0,Graduate,No,Semiurban
N,4200.0,1430.0,5630.0,129.0,360.0,1,Male,Yes,2,Not Graduate,No,Rural
N,5042.0,2083.0,7125.0,185.0,360.0,1,Male,Yes,2,Graduate,No,Rural
Y,5417.0,0.0,5417.0,168.0,360.0,1,Male,No,0,Graduate,No,Urban
Y,6950.0,0.0,6950.0,175.0,180.0,1,Male,No,0,Graduate,Yes,Semiurban
Y,2698.0,2034.0,4732.0,122.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,10171.25,0.0,10171.25,187.0,180.0,1,Male,Yes,2,Graduate,No,Urban
Y,2330.0,4486.0,6816.0,100.0,360.0,1,Female,Yes,0,Graduate,No,Semiurban
Y,10171.25,0.0,10171.25,70.0,360.0,1,Female,Yes,2,Graduate,No,Urban
Y,1538.0,1425.0,2963.0,30.0,360.0,1,Male,Yes,1,Graduate,No,Urban
N,10000.0,1666.0,11666.0,225.0,360.0,1,Female,No,0,Graduate,No,Rural
Y,4860.0,830.0,5690.0,125.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
N,6277.0,0.0,6277.0,118.0,360.0,0,Male,No,0,Graduate,No,Rural
Y,2577.0,3750.0,6327.0,152.0,360.0,1,Male,Yes,0,Graduate,Yes,Rural
N,9166.0,0.0,9166.0,244.0,360.0,1,Male,No,0,Graduate,No,Urban
N,2281.0,0.0,2281.0,113.0,360.0,1,Male,Yes,2,Not Graduate,No,Rural
Y,3254.0,0.0,3254.0,50.0,360.0,1,Male,No,0,Graduate,No,Urban
Y,10171.25,0.0,10171.25,261.5,180.0,0,Male,Yes,3,Graduate,No,Semiurban
Y,6000.0,0.0,6000.0,160.0,360.0,1,Male,Yes,1,Graduate,No,Rural
Y,9538.0,0.0,9538.0,187.0,360.0,1,Male,Yes,1,Graduate,No,Urban
Y,2980.0,2083.0,5063.0,120.0,360.0,1,Male,No,0,Graduate,No,Rural
Y,4583.0,5625.0,10208.0,255.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,1863.0,1041.0,2904.0,98.0,360.0,1,Male,Yes,0,Not Graduate,No,Semiurban
N,7933.0,0.0,7933.0,261.5,360.0,1,Male,Yes,0,Graduate,No,Urban
N,3089.0,1280.0,4369.0,121.0,360.0,0,Male,Yes,1,Graduate,No,Semiurban
Y,4167.0,1447.0,5614.0,158.0,360.0,1,Male,Yes,2,Graduate,No,Rural
Y,9323.0,0.0,9323.0,75.0,180.0,1,Male,Yes,0,Graduate,No,Urban
Y,3707.0,3166.0,6873.0,182.0,360.0,1,Male,Yes,0,Graduate,No,Rural
N,4583.0,0.0,4583.0,112.0,360.0,1,Female,Yes,0,Graduate,No,Rural
Y,2439.0,3333.0,5772.0,129.0,360.0,1,Male,Yes,0,Graduate,No,Rural
N,2237.0,0.0,2237.0,63.0,480.0,0,Male,No,0,Graduate,No,Semiurban
Y,8000.0,0.0,8000.0,200.0,360.0,1,Male,Yes,2,Graduate,No,Semiurban
Y,1820.0,1769.0,3589.0,95.0,360.0,1,Male,Yes,0,Not Graduate,No,Rural
Y,10171.25,0.0,10171.25,261.5,300.0,1,Male,Yes,3,Graduate,No,Urban
N,3522.0,0.0,3522.0,81.0,180.0,1,Male,Yes,3,Not Graduate,No,Rural
Y,5708.0,5625.0,11333.0,187.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
N,4344.0,736.0,5080.0,87.0,360.0,1,Male,Yes,0,Not Graduate,Yes,Semiurban
Y,3497.0,1964.0,5461.0,116.0,360.0,1,Male,Yes,0,Graduate,No,Rural
Y,2045.0,1619.0,3664.0,101.0,360.0,1,Male,Yes,2,Graduate,No,Rural
N,5516.0,5743.125,11259.125,261.5,360.0,0,Male,Yes,3,Graduate,No,Semiurban
Y,3750.0,0.0,3750.0,116.0,360.0,1,Male,Yes,1,Graduate,No,Semiurban
N,2333.0,1451.0,3784.0,102.0,480.0,0,Male,No,0,Not Graduate,No,Urban
N,6400.0,5743.125,12143.125,180.0,360.0,0,Male,Yes,1,Graduate,No,Urban
N,1916.0,5063.0,6979.0,67.0,360.0,1,Male,No,0,Graduate,No,Rural
Y,4600.0,0.0,4600.0,73.0,180.0,1,Male,Yes,0,Graduate,No,Semiurban
N,10171.25,0.0,10171.25,260.0,360.0,1,Male,Yes,1,Graduate,No,Semiurban
Y,3625.0,0.0,3625.0,108.0,360.0,1,Female,Yes,0,Graduate,No,Semiurban
Y,10171.25,4750.0,14921.25,120.0,360.0,1,Male,Yes,0,Graduate,Yes,Semiurban
N,2178.0,0.0,2178.0,66.0,300.0,0,Male,Yes,1,Graduate,Yes,Rural
Y,2383.0,2138.0,4521.0,58.0,360.0,1,Male,Yes,0,Graduate,No,Rural
Y,674.0,5296.0,5970.0,168.0,360.0,1,Male,Yes,0,Graduate,Yes,Rural
Y,9328.0,0.0,9328.0,188.0,180.0,1,Male,Yes,0,Graduate,No,Rural
Y,4885.0,0.0,4885.0,48.0,360.0,1,Male,No,0,Not Graduate,No,Rural
N,10171.25,0.0,10171.25,164.0,360.0,1,Male,No,0,Graduate,No,Semiurban
N,6033.0,0.0,6033.0,160.0,360.0,1,Male,Yes,0,Not Graduate,No,Urban
Y,3858.0,0.0,3858.0,76.0,360.0,1,Male,No,0,Graduate,No,Semiurban
Y,4191.0,0.0,4191.0,120.0,360.0,1,Male,No,0,Graduate,No,Rural
N,3125.0,2583.0,5708.0,170.0,360.0,1,Male,Yes,1,Graduate,No,Semiurban
Y,8333.0,3750.0,12083.0,187.0,360.0,1,Male,No,0,Graduate,No,Rural
Y,1907.0,2365.0,4272.0,120.0,360.0,1,Female,No,0,Not Graduate,No,Urban
Y,3416.0,2816.0,6232.0,113.0,360.0,1,Female,Yes,0,Graduate,No,Semiurban
N,10171.25,0.0,10171.25,83.0,360.0,1,Male,No,0,Graduate,Yes,Urban
Y,2600.0,2500.0,5100.0,90.0,360.0,1,Male,Yes,1,Not Graduate,No,Semiurban
Y,4923.0,0.0,4923.0,166.0,360.0,0,Male,No,2,Graduate,No,Semiurban
N,3992.0,0.0,3992.0,128.0,180.0,1,Male,Yes,3,Not Graduate,No,Urban
Y,3500.0,1083.0,4583.0,135.0,360.0,1,Male,Yes,1,Not Graduate,No,Urban
Y,3917.0,0.0,3917.0,124.0,360.0,1,Male,Yes,2,Not Graduate,No,Semiurban
Y,4408.0,0.0,4408.0,120.0,360.0,1,Female,No,0,Not Graduate,No,Semiurban
Y,3244.0,0.0,3244.0,80.0,360.0,1,Female,No,0,Graduate,No,Urban
Y,3975.0,2531.0,6506.0,55.0,360.0,1,Male,No,0,Not Graduate,No,Rural
Y,2479.0,0.0,2479.0,59.0,360.0,1,Male,No,0,Graduate,No,Urban
N,3418.0,0.0,3418.0,127.0,360.0,1,Male,No,0,Graduate,No,Semiurban
N,10000.0,0.0,10000.0,214.0,360.0,1,Female,No,0,Graduate,No,Semiurban
N,3430.0,1250.0,4680.0,128.0,360.0,0,Male,Yes,3,Graduate,No,Semiurban
Y,7787.0,0.0,7787.0,240.0,360.0,1,Male,Yes,1,Graduate,Yes,Urban
Y,5703.0,0.0,5703.0,130.0,360.0,1,Male,Yes,3,Not Graduate,Yes,Rural
Y,3173.0,3021.0,6194.0,137.0,360.0,1,Male,Yes,0,Graduate,No,Urban
Y,3850.0,983.0,4833.0,100.0,360.0,1,Male,Yes,3,Not Graduate,No,Semiurban
N,150.0,1800.0,1950.0,135.0,360.0,1,Male,Yes,0,Graduate,No,Rural
Y,3727.0,1775.0,5502.0,131.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
N,5000.0,0.0,5000.0,72.0,360.0,0,Male,Yes,2,Graduate,No,Semiurban
Y,4283.0,2383.0,6666.0,127.0,360.0,1,Female,Yes,2,Graduate,No,Semiurban
N,2221.0,0.0,2221.0,60.0,360.0,0,Male,Yes,0,Graduate,No,Urban
Y,4009.0,1717.0,5726.0,116.0,360.0,1,Male,Yes,2,Graduate,No,Semiurban
Y,2971.0,2791.0,5762.0,144.0,360.0,1,Male,No,0,Graduate,No,Semiurban
Y,7578.0,1010.0,8588.0,175.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,6250.0,0.0,6250.0,128.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
N,3250.0,0.0,3250.0,170.0,360.0,1,Male,Yes,0,Graduate,No,Rural
N,4735.0,0.0,4735.0,138.0,360.0,1,Male,Yes,0,Not Graduate,Yes,Urban
Y,6250.0,1695.0,7945.0,210.0,360.0,1,Male,Yes,2,Graduate,No,Semiurban
Y,4758.0,0.0,4758.0,158.0,480.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,6400.0,0.0,6400.0,200.0,360.0,1,Male,No,0,Graduate,Yes,Rural
Y,2491.0,2054.0,4545.0,104.0,360.0,1,Male,Yes,1,Graduate,No,Semiurban
Y,3716.0,0.0,3716.0,42.0,180.0,1,Male,Yes,0,Graduate,No,Rural
Y,3189.0,2598.0,5787.0,120.0,360.0,1,Male,No,0,Not Graduate,No,Rural
Y,8333.0,0.0,8333.0,261.5,360.0,1,Female,No,0,Graduate,No,Semiurban
Y,3155.0,1779.0,4934.0,140.0,360.0,1,Male,Yes,1,Graduate,No,Semiurban
Y,5500.0,1260.0,6760.0,170.0,360.0,1,Male,Yes,1,Graduate,No,Rural
N,5746.0,0.0,5746.0,255.0,360.0,1,Male,Yes,0,Graduate,No,Urban
Y,3463.0,0.0,3463.0,122.0,360.0,1,Female,No,0,Graduate,Yes,Urban
Y,3812.0,0.0,3812.0,112.0,360.0,1,Female,No,1,Graduate,No,Rural
Y,3315.0,0.0,3315.0,96.0,360.0,1,Male,Yes,1,Graduate,No,Semiurban
Y,5819.0,5000.0,10819.0,120.0,360.0,1,Male,Yes,2,Graduate,No,Rural
N,2510.0,1983.0,4493.0,140.0,180.0,1,Male,Yes,1,Not Graduate,No,Urban
Y,2965.0,5701.0,8666.0,155.0,60.0,1,Male,No,0,Graduate,No,Urban
Y,6250.0,1300.0,7550.0,108.0,360.0,1,Male,Yes,2,Graduate,Yes,Rural
Y,3406.0,4417.0,7823.0,123.0,360.0,1,Male,Yes,0,Not Graduate,No,Semiurban
N,6050.0,4333.0,10383.0,120.0,180.0,1,Male,No,0,Graduate,Yes,Urban
Y,9703.0,0.0,9703.0,112.0,360.0,1,Male,Yes,2,Graduate,No,Urban
Y,6608.0,0.0,6608.0,137.0,180.0,1,Male,Yes,1,Not Graduate,No,Urban
Y,2882.0,1843.0,4725.0,123.0,480.0,1,Male,Yes,1,Graduate,No,Semiurban
Y,1809.0,1868.0,3677.0,90.0,360.0,1,Male,Yes,0,Graduate,No,Urban
N,1668.0,3890.0,5558.0,201.0,360.0,0,Male,Yes,0,Not Graduate,No,Semiurban
N,3427.0,0.0,3427.0,138.0,360.0,1,Female,No,2,Graduate,No,Urban
Y,2583.0,2167.0,4750.0,104.0,360.0,1,Male,No,0,Not Graduate,Yes,Rural
Y,2661.0,5743.125,8404.125,261.5,180.0,1,Male,Yes,1,Not Graduate,No,Semiurban
N,10171.25,0.0,10171.25,192.0,360.0,0,Male,No,0,Graduate,Yes,Urban
Y,3083.0,0.0,3083.0,255.0,360.0,1,Female,No,3,Graduate,No,Rural
N,6045.0,0.0,6045.0,115.0,360.0,0,Male,No,0,Not Graduate,No,Rural
N,5250.0,0.0,5250.0,94.0,360.0,1,Male,Yes,3,Graduate,No,Urban
N,10171.25,2100.0,12271.25,261.5,360.0,1,Male,Yes,0,Graduate,No,Rural
N,4931.0,0.0,4931.0,128.0,360.0,1,Male,Yes,3,Not Graduate,No,Semiurban
Y,6083.0,4250.0,10333.0,261.5,360.0,1,Male,Yes,1,Graduate,No,Urban
Y,2060.0,2209.0,4269.0,134.0,360.0,1,Male,No,0,Graduate,No,Semiurban
N,3481.0,0.0,3481.0,155.0,36.0,1,Female,No,1,Graduate,No,Semiurban
Y,7200.0,0.0,7200.0,120.0,360.0,1,Female,No,0,Graduate,No,Rural
Y,5166.0,0.0,5166.0,128.0,360.0,1,Male,No,0,Graduate,Yes,Semiurban
Y,4095.0,3447.0,7542.0,151.0,360.0,1,Male,No,0,Graduate,No,Rural
Y,4708.0,1387.0,6095.0,150.0,360.0,1,Male,Yes,2,Graduate,No,Semiurban
Y,4333.0,1811.0,6144.0,160.0,360.0,0,Male,Yes,3,Graduate,No,Urban
N,3418.0,0.0,3418.0,135.0,360.0,1,Female,No,0,Graduate,No,Rural
Y,2876.0,1560.0,4436.0,90.0,360.0,1,Female,No,1,Graduate,No,Urban
Y,3237.0,0.0,3237.0,30.0,360.0,1,Female,No,0,Graduate,No,Urban
Y,10171.25,0.0,10171.25,136.0,360.0,1,Male,Yes,0,Graduate,No,Urban
Y,2833.0,1857.0,4690.0,126.0,360.0,1,Male,No,0,Graduate,No,Rural
Y,2620.0,2223.0,4843.0,150.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,3900.0,0.0,3900.0,90.0,360.0,1,Male,Yes,2,Graduate,No,Semiurban
Y,2750.0,1842.0,4592.0,115.0,360.0,1,Male,Yes,1,Graduate,No,Semiurban
Y,3993.0,3274.0,7267.0,207.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,3103.0,1300.0,4403.0,80.0,360.0,1,Male,Yes,0,Graduate,No,Urban
Y,10171.25,0.0,10171.25,261.5,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,4100.0,0.0,4100.0,124.0,360.0,1,Female,Yes,0,Not Graduate,No,Rural
N,4053.0,2426.0,6479.0,158.0,360.0,0,Male,No,1,Not Graduate,Yes,Urban
Y,3927.0,800.0,4727.0,112.0,360.0,1,Male,Yes,0,Graduate,No,Semiurban
Y,2301.0,985.7999878,3286.7999878,78.0,180.0,1,Male,Yes,2,Graduate,No,Urban
Y,1811.0,1666.0,3477.0,54.0,360.0,1,Female,No,0,Graduate,No,Urban
N,10171.25,0.0,10171.25,128.0,360.0,1,Male,Yes,0,Graduate,No,Rural
Y,3158.0,3053.0,6211.0,89.0,360.0,1,Male,No,0,Graduate,No,Rural
N,2600.0,1717.0,4317.0,99.0,300.0,1,Female,No,0,Graduate,Yes,Semiurban
Y,3704.0,2000.0,5704.0,120.0,360.0,1,Male,Yes,0,Graduate,No,Rural
